Item,Material,Price,Unit,Minimum,pret [ron],furnizor,link
accessory,Cos Jolly 300,300,piece,1,300,estimat,
accessory,tandembox M,200,piece,1,200.2,ProfiCut,"(500) Laterale 90, Suport Spate, 6.6, Sina 78 | Cuplaj Front: 3.7*2 | 10% Buffer"
accessory,tandembox D,236.4,piece,1,236.39,ProfiCut,"(500) Laterale 90, Suport Spate, 11, Sina 78 | Lonjeron 28.5 | Cuplaj Front: 3.7*2 | 10% Buffer"
accessory,L,2.74,piece,1,2.74,alsafix.ro,Coltar metalic simplu 80x80x20mm
accessory,demontabil,1.18,piece,1,1.18,regency company,https://regencycompany.ro/elemente-imbinare/demontabil-blum-420700w-alb.html
accessory,demontabil cama,0.6504,piece,50,0.6504,MAM Bricolaj,https://webshop.mam-bricolaj.ro/produs/demontabil-minifix-cu-cama-hafele-set-50?gclid=CjwKCAiAkrWdBhBkEiwAZ9cdcCfOdy-SZqytPRja--Jf0EdZ8a85IwScv2aT96Adr17XvoCK_id9ARoCwqIQAvD_BwE
accessory,diblu de lemn,0.0625,piece,200,0.0625,Hornbach,https://www.hornbach.ro/p/dibluri-lemn-wolfcraft-o6x30-mm-pachet-200-bucati/980483/
accessory,bara haine dr,36.250375,m,4,36.25,proficut,Bara Haine Dreptunghiulara
accessory,suport bara haine dreptunghiulara,13.8,piece,1,13.8,proficut,
accessory,suport tacamuri 740x490,92,piece,1,92,proficut,
